  We use the information we have (including your activity oﬀ our Products, such as the websites you visit and ads you see) to  help advertisers and other partners measure the eﬀectiveness and distribution of their ads and services, and understand the types of people who use their services and how people interact with their websites, apps, and services.	Related to privacy				
Learn how we share information with these partners.	Commit to privacy	https://www.facebook.com/policy.php?cquick=jsc_c_10&cquick_token=AQ4jhzZIKTkrZyNo6vs&ctarget=https%3A%2F%2Fwww.facebook.com#sharing-partner-information			
  Promote safety, integrity and security.	Not applicable				
  We use the information we have to verify accounts and activity, combat harmful conduct, detect and prevent spam and other bad experiences, maintain the integrity of our Products, and promote safety and security on and oﬀ of Facebook Products. 	Related to privacy				
For example, we use data we have to investigate suspicious activity or violations of our terms or policies, or to detect when someone needs help.	Related to privacy				
To learn more, visit the Facebook Security Help Center and Instagram Security Tips.	Commit to privacy	https://www.facebook.com/help/379220725465972?ref=dp	help.instagram.com/369001149843369/?helpref=uf_share		
  Communicate with you.	Not applicable				
  We use the information we have to send you marketing communications, communicate with you about our Products, and let  you know about our policies and terms.	Related to privacy				
We also use your information to respond to you when you contact us.	Related to privacy				
  Research and innovate for social good.	Not applicable				
  We use the information we have (including from research partners we collaborate with) to conduct and support research and  innovation   on   topics   of   general   social   welfare,   technological   advancement,   public   interest,   health   and   well-being.	Not applicable	untraceable?			
For example, we analyze information we have about migration patterns during crises to aid relief eﬀorts.	Not applicable	untraceable?			
Learn more about our research programs.	Not applicable	https://research.fb.com/			
  III.	Not applicable				
How is this information shared?	Not applicable				
  Your information is shared with others in the following ways:  Sharing on Facebook Products  People and accounts you share and communicate with  When you share and communicate using our Products, you choose the audience for what you share.	Commit to privacy	https://www.facebook.com/settings?tab=privacy&view			
For example, when you  post on Facebook, you select the audience for the post, such as a group, all of your friends, the public, or a customized list  of people.	Commit to privacy	https://www.facebook.com/settings?tab=privacy&view			
Similarly, when you use Messenger or Instagram to communicate with people or businesses, those people and  businesses can see the content you send.	Related to privacy	untraceable			
Your network can also see actions you have taken on our Products, including  engagement with ads and sponsored content.	Violate privacy	untraceable			
We also let other accounts see who has viewed their Facebook or Instagram  Stories.	Violate privacy				
  Public information can be seen by anyone, on or oﬀ our Products, including if they don't have an account.	Related to privacy				
This includes your Instagram username; any information you share with a public audience; information in your public proﬁle on Facebook; and   content   you   share   on   a   Facebook   Page,   public   Instagram  account   or   any   other   public   forum,   such   as   Facebook  Marketplace.	Related to privacy				
You, other people using Facebook and Instagram, and we can provide access to or send public information to  anyone on or oﬀ our Products, including in other Facebook Company Products, in search results, or through tools and APIs.	Related to privacy				
  Public   information   can   also   be   seen,   accessed,   reshared   or   downloaded   through   third-party   services   such   as   search  engines, APIs, and oﬄine media such as TV, and by apps, websites and other services that integrate with our Products.	Related to privacy				
  Learn more about what information is public and how to control your visibility on Facebook and Instagram.	Commit to privacy	https://www.facebook.com/help/203805466323736?ref=dp	https://help.instagram.com/243810329323104?ref=dp		
 Content others share or reshare about you  You should consider who you choose to share with, because people who can see your activity on our Products can choose  to share it with others on and oﬀ our Products, including people and businesses outside the audience you shared with.	Declare opinion about privacy				
For example, when you share a post or send a message to speciﬁc friends or accounts, they can download, screenshot, or reshare that content to others across or oﬀ our Products, in person or in virtual reality experiences such as Facebook  Spaces.	Related to privacy				
Also, when you comment on someone else's post or react to their content, your comment or reaction is visible to anyone who can see the other person's content, and that person can change the audience later.	Related to privacy				
  People can also use our Products to create and share content about you with the audience they choose.	Related to privacy				
For example, people can share a photo of you in a Story, mention or tag you at a location in a post, or share information about you in their  posts or messages.	Violate privacy				
 If you are uncomfortable with what others have shared about you on our Products, you can learn how to  report the content.	Commit to privacy	https://www.facebook.com/help/181495968648557?ref=dp			
  Information about your active status or presence on our Products.	Not applicable				
  People in your networks can see signals telling them whether you are active on our Products, including whether you are currently active on Instagram, Messenger or Facebook, or when you last used our Products.	Violate privacy				
  Apps, websites, and third-party integrations on or using our Products.	Not applicable				
  When you choose to use third-party apps, websites, or other services that use, or are integrated with, our Products, they can receive information about what you post or share.	Violate privacy				
For example, when you play a game with your Facebook friends or use a  Facebook Comment or Share button on a website, the game developer or website can receive information about your activities in the game or receive a comment or link that you share from the website on Facebook.	Violate privacy				
Also, when you download  or use such third-party services, they can access your public proﬁle on Facebook, and any information that you share with them.	Related to privacy				
Apps and websites you use may receive your list of Facebook friends if you choose to share it with them.	Commit to privacy	hard to trace			
But apps  and websites you use will not be able to receive any other information about your Facebook friends from you, or information about any of your Instagram followers (although your friends and followers may, of course, choose to share this information  themselves).	Commit to privacy	untraceable			
Information collected by these third-party services is subject to their own terms and policies, not this one.	Related to privacy				
  Devices and operating systems providing native versions of Facebook and Instagram (i.e. where we have not developed our  own ﬁrst-party apps) will have access to all information you choose to share with them, including information your friends  share with you, so they can provide our core functionality to you.	Related to privacy				
Note: We are in the process of restricting developers’ data access even further to help prevent abuse.	Commit to privacy	untraceable			
For example, we will  remove developers' access to your Facebook and Instagram data if you haven't used their app in 3 months, and we are  changing Login, so that in the next version, we will reduce the data that an app can request without app review to include  only   name,   Instagram   username   and   bio,   proﬁle   photo   and   email   address.	Commit to privacy	untraceable			
Requesting   any   other   data   will   require   our approval  If the ownership or control of all or part of our Products or their assets changes, we may transfer your information to the new  New owner..	Related to privacy				
  owner.	Not applicable				
  Sharing with Third-Party Partners	Not applicable				
  We work with third-party partners who help us provide and improve our Products or who use Facebook Business Tools to  grow their businesses, which makes it possible to operate our companies and provide free services to people around the  world.	Related to privacy				
We don't sell any of your information to anyone, and we never will.	Commit to privacy	untraceable			
We also impose strict restrictions on how our  partners can use and disclose the data we provide.	Commit to privacy	untraceable			
Here are the types of third parties we share information with:  Partners who use our analytics services.	Not applicable				
  We provide aggregated statistics and insights that help people and businesses understand how people are engaging with  their posts, listings, Pages, videos and other content on and oﬀ the Facebook Products.	Related to privacy				
For example, Page admins and  Instagram   business   proﬁles   receive   information   about   the   number   of   people   or   accounts   who   viewed,   reacted   to,   or  commented on their posts, as well as aggregate demographic and other information that helps them understand interactions  with their Page or account.	Related to privacy				
  Advertisers.	Not applicable				
  Measurement partners.	Not applicable				
  partners.	Not applicable				
  We provide advertisers with reports about the kinds of people seeing their ads and how their ads are performing, but we  don't share information that personally identiﬁes you (information such as your name or email address that by itself can be  used to contact you or identiﬁes who you are) unless you give us permission.	Commit to privacy	https://www.facebook.com/adpreferences/ad_settings			
For example, we provide general demographic  and interest information to advertisers (for example, that an ad was seen by a woman between the ages of 25 and 34 who  lives   in   Madrid   and   likes   software   engineering)   to   help   them   better   understand   their   audience.	Related to privacy				
We   also   conﬁrm   which  Facebook ads led you to make a purchase or take an action with an advertiser.	Violate privacy	https://www.facebook.com/business/help/458681590974355?id=768381033531365			
We share information about you with companies that aggregate it to provide analytics and measurement reports to our  Partners oﬀering goods and services in our Products.	Violate privacy				
  When you subscribe to receive premium content, or buy something from a seller in our Products, the content creator or seller can   receive   your   public   information   and   other   information   you   share   with   them,   as   well   as   the   information   needed   to complete the transaction, including shipping and contact details.	Related to privacy				
  Vendors and service providers.	Not applicable				
Researchers and academics.	Not applicable				
  We provide information and content to vendors and service providers who support our business, such as by providing technical infrastructure services, analyzing how our Products are used, providing customer service, facilitating payments or conducting surveys.	Violate privacy				
  We also provide information and content to research partners and academics to conduct research that advances scholarship and innovation that support our business or mission, and enhances discovery and innovation on topics of general social  welfare, technological advancement, public interest, health and well-being.	Violate privacy				
  Law enforcement or legal requests.	Not applicable				
  We share information with law enforcement or in response to legal requests in the circumstances outlined below.	Commit to privacy	untraceable			
  Learn more about how you can control the information about you that you or others share with third-party partners in the  Facebook Settings and Instagram Settings.	Commit to privacy	https://www.facebook.com/settings/?tab=account	https://www.instagram.com/accounts/login/?next=/accounts/privacy_and_security/		
  IV.	Not applicable				
How do the Facebook Companies work together?	Not applicable				
  Facebook and Instagram share infrastructure, systems and technology with other Facebook Companies (which include WhatsApp and Oculus) to provide an innovative, relevant, consistent and safe experience across all Facebook Company Products you use.	Violate privacy				
We also process information about you across the Facebook Companies for these purposes, as permitted by applicable law and in accordance  with their terms and policies.	Commit to privacy				
For example, we process information from WhatsApp about accounts sending spam on its service so we  can take appropriate action against those accounts on Facebook, Instagram or Messenger.	Related to privacy				
We also work to understand how people  use   and   interact   with   Facebook   Company   Products,   such   as   understanding   the   number   of   unique   users   on   diﬀerent   Facebook  Company Products.	Violate privacy				
  V.	Not applicable				
What is our legal basis for processing data?	Not applicable				
  We collect, use and share the data that we have in the ways described above: • as necessary to fulﬁll our Facebook Terms of Service or Instagram Terms of Use; • consistent with your consent, which you may revoke at any time through the Facebook Settings and Instagram Settings; • as necessary to comply with our legal obligations • to protect your vital interests, or those of others; • as necessary in the public interest; and • as   necessary   for   our   (or   others')   legitimate   interests,   including   our   interests   in   providing   an   innovative,   personalized,   safe,   and proﬁtable   service   to   our   users   and   partners,   unless   those   interests   are   overridden   by   your   interests   or   fundamental   rights   and  freedoms that require protection of personal data.	Commit to privacy	untraceable			
  Learn more about these legal bases and how they relate to the ways in which we process data.	Commit to privacy	https://www.facebook.com/about/privacy/legal_bases			
  VI.	Not applicable				
How can you exercise your rights provided under the GDPR?	Not applicable				
Under the General Data Protection Regulation, you have the right to access, rectify, port and erase your data.	Related to privacy	https://www.facebook.com/help/contact/259518714718624			
Learn more about these  rights, and ﬁnd out how you can exercise your rights in the Facebook Settings and Instagram Settings.	Commit to privacy	https://www.facebook.com/settings/?tab=account	https://www.instagram.com/accounts/login/?next=/accounts/privacy_and_security/		
You also have the right to object  to and restrict certain processing of your data.	Commit to privacy	https://www.facebook.com/help/contact/367438723733209			
This includes: • the right to object to our processing of your data for direct marketing, which you can exercise by using the "unsubscribe" link in such  marketing communications; and  • the right to object to our processing of your data where we are performing a task in the public interest or pursuing our legitimate  interests or those of a third party.	Commit to privacy	hard to trace? James: Yes, the "right to object" is empty. I object to rainy days, but that doesnt change anything. https://www.facebook.com/legal/terms/information_about_page_insights_data	hard to trace?		
You can exercise this right on Facebook and on Instagram.	Commit to privacy	hard to trace?			
  VII.	Not applicable				
Data retention, account deactivation and deletion  	Not applicable				
We store data until it is no longer necessary to provide our services and Facebook Products, or until your account is deleted - whichever comes ﬁrst.	Commit to privacy	untraceable			
This is a case-by-case determination that depends on things like the nature of the data, why it is collected and processed, and relevant legal or operational retention needs.	Related to privacy				
For example, when you search for something on Facebook, you can access and  delete that query from within your search history at any time, but the log of that search is deleted after 6 months.	Commit to privacy	https://www.facebook.com/100003281621340/allactivity/?category_key=SEARCH&entry_point=edit_search_history&log_filter=search			
If you submit a copy of your government-issued ID for account veriﬁcation purposes, we delete that copy 30 days after review, unless otherwise stated.	Commit to privacy	untraceable			
Learn more about deletion of content you have shared and cookie data obtained through social plugins.	Commit to privacy	www.facebook.com/help/356107851084108/?helpref=uf_share	www.facebook.com/help/206635839404055/?helpref=uf_share		
  When you delete your account, we delete things you have posted, such as your photos and status updates, and you won't be able to recover that information later.	Commit to privacy	untraceable			
Information that others have shared about you isn't part of your account and won't be deleted.	Related to privacy				
If you don't  want to delete your account but want to temporarily stop using the Products, you can deactivate your account instead.	Commit to privacy	https://www.facebook.com/help/250563911970368/?helpref=hc_fnav	https://www.facebook.com/deactivate_delete_account		
To delete your account at any time, please visit the Facebook Settings and Instagram Settings.	Commit to privacy	https://www.facebook.com/settings/?tab=account	https://www.instagram.com/accounts/login/?next=/accounts/privacy_and_security/	https://www.facebook.com/deactivate_delete_account	
  VIII.	Not applicable				
How do we respond to legal requests or prevent harm?	Not applicable				
  We access, preserve and share your information with regulators, law enforcement or others: 	Related to privacy				
•	Not applicable				
In response to a legal request, if we have a good-faith belief that the law requires us to do so.	Commit to privacy				
We can also respond to legal requests when we have a good-faith belief that the response is required by law in that jurisdiction, aﬀects users in that jurisdiction, and is  consistent with internationally recognized standards.	Commit to privacy				
  •	Not applicable				
When we have a good-faith belief it is necessary to: detect, prevent and address fraud, unauthorized use of the Products, violations of our terms or policies, or other harmful or illegal activity; to protect ourselves (including our rights, property or Products), you or others, including as part of investigations or regulatory inquiries; or to prevent death or imminent bodily harm.	Commit to privacy				
For example, if relevant, we  provide information to and receive information from third-party partners about the reliability of your account to prevent fraud, abuse and other harmful activity on and oﬀ our Products.	Commit to privacy				
  Information we receive about you (including ﬁnancial transaction data related to purchases made with Facebook) can be accessed and  preserved for an extended period when it is the subject of a legal request or obligation, governmental investigation, or investigations of  possible violations of our terms or policies, or otherwise to prevent harm.	Related to privacy				
We also retain information from accounts disabled for terms  violations for at least a year to prevent repeat abuse or other term violations.	Related to privacy				
  IX.	Not applicable				
How do we operate and transfer data as part of our global services?	Not applicable				
  We share information globally, both internally within the Facebook Companies and externally with our partners and with those you  connect and share with around the world in accordance with this policy.	Commit to privacy				
Information controlled by Facebook Ireland will be transferred or  transmitted to, or stored and processed in, the United States or other countries outside of where you live for the purposes as described in this policy.	Commit to privacy				
These data transfers are necessary to provide the services set forth in the Facebook Terms and Instagram Terms and to globally operate and provide our Products to you.	Related to privacy				
We utilize standard contractual clauses approved by the European Commission and  rely on the European Commission's adequacy decisions about certain countries, as applicable, for data transfers from the EEA to the  United States and other countries.	Commit to privacy				
  X.	Not applicable				
How will we notify you of changes to this policy?	Not applicable				
  We'll notify you before we make changes to this policy and give you the opportunity to review the revised policy before you choose to  continue using our Products.  XI.	Commit to privacy	untraceable			
How to contact Facebook with questions  You can learn more about how privacy works on Facebook and on Instagram.	Commit to privacy	https://www.facebook.com/about/basics	https://help.instagram.com/196883487377501?ref=dp		
If you have questions about this policy, you can contact  The data controller responsible for your information is Facebook Ireland, which you can contact online, or by mail at:  us as described below.	Commit to privacy	https://www.facebook.com/help/contact/2061665240770586	https://www.facebook.com/policy.php	https://www.facebook.com/help/contact/540977946302970	
  Facebook Ireland Ltd.  4 Grand Canal Square  Grand Canal Harbour	Commit to privacy	this is already the concretization of the commitment, isn't it?			
Dublin 2 Ireland  Contact the Data Protection Oﬃcer for Facebook Ireland Ltd.	Commit to privacy	https://www.facebook.com/help/contact/540977946302970			
You also have the right to lodge a complaint with Facebook Ireland's lead supervisory authority, the Irish Data Protection Commissioner,  or your local supervisory authority.	Commit to privacy	no link attached			
  6 of 7  20/09/2021, 14:35  Facebook  https://www.facebook.com/about/privacy/update/printable  Date of Last Revision: August 21, 2020  English (US)  	Not applicable				
Italiano Română Français (France)	Not applicable				
Sardu Deutsch Español Shqip  ﺍﻟﻌﺮﺑﻴﺔ  Português (Brasil)  िह�दी	Not applicable				
  Sign Up  	Not applicable				
Log	Not applicable				
In Messenger  Facebook Lite Watch  Places  Games  Marketplace  Facebook Pay  Jobs  Oculus  Portal  Instagram  	Not applicable				
Local  Fundraisers  Services  Voting Information Center  About  	Not applicable				
Create Ad  Create Page  Developers  Careers  Privacy  Cookies  	Not applicable				
Ad Choices  Terms  Help  Facebook © 2021  7 of 7  20/09/2021, 14:35  	Not applicable				
